email_text,target
Please review the internship document attached,0
Team meeting regarding 4am update,0
Invoice for 12am attached,0
Congratulations you won 2949 prize claim now,1
Claim your 1855 reward before deadline,1
Report submission for salary project,0
You are selected for 1616 bonus offer,1
Claim your 4422 reward before deadline,1
Project discussion about 11am next week,0
Exclusive deal buy now and save 6441,1
Win 8589 dollars now click here,1
Please review the bank document attached,0
Class schedule for 4am has been updated,0
Meeting scheduled at 5am tomorrow,0
Meeting scheduled at 8am tomorrow,0
Free 1850 membership register today,1
You are selected for 9048 bonus offer,1
Exclusive deal buy now and save 1977,1
Class schedule for 12am has been updated,0
Team meeting regarding 12am update,0
Class schedule for 2am has been updated,0
Free 6509 membership register today,1
Free 9253 membership register today,1
You are selected for 2289 bonus offer,1
Lunch meeting at 12am today,0
Lunch meeting at 9am today,0
Interview confirmation for bonus position,0
Report submission for training project,0
Urgent verify your 5639 account immediately,1
Invoice for 12am attached,0
Meeting scheduled at 2am tomorrow,0
Please review the investment document attached,0
Earn 7161 per day from home,1
Exclusive deal buy now and save 5078,1
Meeting scheduled at 9am tomorrow,0
Report submission for invoice project,0
Free 8532 membership register today,1
Reminder about 10am deadline,0
Free 7978 membership register today,1
Team meeting regarding 4am update,0
Earn 1997 per day from home,1
Project discussion about 8am next week,0
Please review the invoice document attached,0
Congratulations you won 8142 prize claim now,1
Lunch meeting at 8am today,0
Class schedule for 12am has been updated,0
Earn 1558 per day from home,1
Congratulations you won 9335 prize claim now,1
Reminder about 12am deadline,0
Team meeting regarding 2am update,0
Exclusive deal buy now and save 5832,1
Report submission for account project,0
Invoice for 5am attached,0
Invoice for 9am attached,0
Exclusive deal buy now and save 8887,1
Free 4300 membership register today,1
Win 9755 dollars now click here,1
Invoice for 2am attached,0
Act fast limited 4992 offer available,1
Project discussion about 3am next week,0
Congratulations you won 7040 prize claim now,1
Invoice for 4am attached,0
Act fast limited 6242 offer available,1
Team meeting regarding 1am update,0
Report submission for bank project,0
Invoice for 1am attached,0
Free 4761 membership register today,1
Report submission for project project,0
Meeting scheduled at 11am tomorrow,0
Project discussion about 8am next week,0
You are selected for 7213 bonus offer,1
You are selected for 5365 bonus offer,1
